MAT-50   11124.157952 189.935912
MAT-51   1905.020395 59.874533
MAT-52   18313.095650 224.558598
MAT-53   16421.322747 225.026710
MAT-54   10296.148936 98.903243
MAT-55   19372.807617 222.560475
MAT-56   3915.244392 71.198276
MAT-57   9328.132307 68.994021
MAT-58   5242.443133 136.021151
MAT-59   209.870025 18.501155
MAT-60   11760.964798 216.195591
MAT-61   8122.785053 206.132998
MAT-62   63.107238 10.165389
MAT-63   11556.517826 284.937386
MAT-64   14569.844679 271.371717
MAT-65   2767.472588 22.105439
MAT-66   5091.563887 124.762285
MAT-67   4427.799244 145.799724
MAT-68   3101.623328 94.889086
MAT-69   7202.466478 89.545460
MAT-70   5921.144892 189.143487
MAT-71   4091.933100 196.468131
MAT-72   311.927765 51.795637
MAT-73   5210.399414 60.684196
MAT-74   17587.075997 232.738814
MAT-75   9180.497381 116.771630
MAT-76   5254.449926 142.952357
MAT-77   5545.380840 69.079494
MAT-78   8273.805650 123.724667
MAT-79   1337.700598 49.507090
MAT-80   470.892368 26.910798
MAT-81   10348.315256 139.707101
MAT-82   85.044099 26.768744
MAT-83   10092.538432 130.334563
MAT-84   3420.946316 98.413053
MAT-85   244.267338 33.822508
MAT-86   42.647662 6.418815
MAT-87   3897.965817 71.345027
MAT-88   8099.825306 142.363991
MAT-89   10091.977067 107.346253
MAT-90   15629.969793 196.898270
MAT-91   19281.956332 148.386382
MAT-92   7652.263248 128.435224
MAT-93   17940.887451 214.918166
MAT-94   15001.163890 169.903511
MAT-95   91.985222 11.000589
MAT-96   11265.539558 193.682405
MAT-97   7206.716997 109.808812
MAT-98   8282.265775 45.609378
MAT-99   1294.758155 114.315951
