MAT-50   17020.136879 290.604937
MAT-51   3438.939845 108.085414
MAT-52   14292.905957 175.262281
MAT-53   30749.856132 421.375248
MAT-54   18193.917514 174.768009
MAT-55   17207.344882 197.683007
MAT-56   10024.726903 182.298524
MAT-57   18286.242611 135.251234
MAT-58   14948.265598 387.849757
MAT-59   176.715197 15.578381
MAT-60   13414.053032 246.583437
MAT-61   8336.156268 211.547748
MAT-62   44.480425 7.164960
MAT-63   9649.887870 237.927537
MAT-64   27591.721226 513.911639
MAT-65   86802.671298 693.344226
MAT-66   10781.336394 264.182911
MAT-67   7688.822310 253.179538
MAT-68   7555.993565 231.163249
MAT-69   19537.962090 242.907871
MAT-70   7840.363965 250.450514
MAT-71   3233.884798 155.270208
MAT-72   382.737020 63.553521
MAT-73   3724.805926 43.381866
MAT-74   14759.179059 195.315801
MAT-75   10103.482970 128.511575
MAT-76   3843.907138 104.577186
MAT-77   77303.404712 962.978062
MAT-78   19866.839100 297.084336
MAT-79   749.239486 27.728676
MAT-80   785.099862 44.867289
MAT-81   6302.490279 85.086569
MAT-82   121.247074 38.164105
MAT-83   21016.147830 271.401537
MAT-84   3314.257476 95.343851
MAT-85   352.253974 48.774892
MAT-86   36.152911 5.441302
MAT-87   3254.867393 59.574304
MAT-88   42787.980811 752.049272
MAT-89   18483.977769 196.610211
MAT-90   10744.965465 135.359514
MAT-91   26223.730571 201.807557
MAT-92   7665.172298 128.651889
MAT-93   23945.605439 286.850113
MAT-94   27375.496677 310.055475
MAT-95   84.391844 10.092490
MAT-96   17612.325770 302.799311
MAT-97   5607.218743 85.437243
MAT-98   33251.320356 183.110765
MAT-99   2210.095651 195.132339
