MAT-50   46.1526930894 0.8633930072
MAT-51   7.9262589928 0.3873226483
MAT-52   29.2479263867 0.6906567188
MAT-53   50.2779850746 0.8810488237
MAT-54   24.5780516432 1.9961348731
MAT-55   36.4945427729 1.3378895318
MAT-56   13.0399659864 0.5555591709
MAT-57   25.2454427083 1.0417325825
MAT-58   20.7249053030 0.8040737485
MAT-59   7.2934843400 0.5546293998
MAT-60   41.2035984848 1.1199739785
MAT-61   36.2256305385 0.2945771314
MAT-62   6.1324906367 0.3417045001
MAT-63   36.8642540211 0.8843171809
MAT-64   46.4512578616 2.2738689072
MAT-65   121.9843750000 8.0144319694
MAT-66   14.9574542897 0.9960581709
MAT-67   12.4114763552 1.1391778559
MAT-68   14.7455501618 1.8816940532
MAT-69   13.4995495495 0.7797212724
MAT-70   24.8825857520 1.0797592246
MAT-71   23.6728346457 0.8862672571
MAT-72   4.5975957620 0.4828859453
MAT-73   27.0364434948 0.5029317220
MAT-74   28.4506688963 1.1510184601
MAT-75   40.3994883041 1.1588063901
MAT-76   28.1064139942 0.3849700013
MAT-77   60.7777777778 7.4754456309
MAT-78   20.8879585327 0.9756269096
MAT-79   12.6354166667 0.6085885980
MAT-80   3.2458471761 0.6221772322
MAT-81   33.4053398058 0.8807865278
MAT-82   2.4895833333 0.5814528889
MAT-83   26.5421853389 1.5608684155
MAT-84   12.0563063063 0.7813689174
MAT-85   6.1118295019 0.7153040325
MAT-86   3.7856137387 0.0804835575
MAT-87   12.5804215197 0.4299777924
MAT-88   22.7157894737 0.5812130044
MAT-89   34.5063868613 2.0573036907
MAT-90   34.0105022831 0.7020960377
MAT-91   34.0106142728 1.6445306230
MAT-92   15.2027611444 1.0531111855
MAT-93   28.9957890071 1.1721767516
MAT-94   44.8215151515 1.7586719674
MAT-95   4.0441803778 0.3343786215
MAT-96   25.0612668744 1.2456400566
MAT-97   30.7232558140 0.2800342220
MAT-98   22.2846666667 2.2772716619
MAT-99   12.4875283447 0.8845797432
