MAT-0   75.776185 10.323021
MAT-1   0.000000 0.000000
MAT-2   0.000000 0.000000
MAT-3   8892.843254 80.628594
MAT-4   21.360483 16.366094
MAT-5   10.079698 5.548550
MAT-6   0.000000 0.000000
MAT-7   0.000000 0.000000
MAT-8   0.000000 0.000000
MAT-9   17.039777 4.264352
MAT-10   3.425226 2.647219
MAT-11   31.584932 16.338411
MAT-12   0.000000 0.000000
MAT-13   0.000000 0.000000
MAT-14   1344.676865 0.000000
MAT-15   3265.616346 113.164886
MAT-16   0.000000 0.000000
MAT-17   446.886824 26.558971
MAT-18   0.000000 0.000000
MAT-19   0.000000 0.000000
MAT-20   0.000000 0.000000
MAT-21   0.000000 0.000000
MAT-22   0.000000 0.000000
MAT-23   0.000000 0.000000
MAT-24   24.421418 14.478193
MAT-25   0.000000 0.000000
MAT-26   2296.685815 141.702328
MAT-27   0.000000 0.000000
MAT-28   0.000000 0.000000
MAT-29   0.000000 0.000000
MAT-30   586.646205 29.870698
MAT-31   0.000000 0.000000
MAT-32   0.000000 0.000000
MAT-33   12438.280357 91.862709
MAT-34   0.000000 0.000000
MAT-35   9.649424 2.991014
MAT-36   0.000000 0.000000
MAT-37   0.000000 0.000000
MAT-38   0.000000 0.000000
MAT-39   0.000000 0.000000
MAT-40   0.000000 0.000000
MAT-41   0.000000 0.000000
MAT-42   0.000000 0.000000
MAT-43   0.000000 0.000000
MAT-44   0.000000 0.000000
MAT-45   16893.982385 156.840337
MAT-46   0.000000 0.000000
MAT-47   4.369328 1.912799
MAT-48   814.377752 21.817274
MAT-49   0.000000 0.000000
