MAT-0   89.688472 12.218298
MAT-1   0.000000 0.000000
MAT-2   0.000000 0.000000
MAT-3   16407.464711 148.761288
MAT-4   10.009015 7.668763
MAT-5   2.237261 1.231540
MAT-6   0.000000 0.000000
MAT-7   0.000000 0.000000
MAT-8   0.000000 0.000000
MAT-9   3.125486 0.782180
MAT-10   2.452116 1.895141
MAT-11   15.662792 8.102127
MAT-12   0.000000 0.000000
MAT-13   0.000000 0.000000
MAT-14   96402.797832 0.000000
MAT-15   9640.198694 334.066184
MAT-16   0.000000 0.000000
MAT-17   281.743709 16.744335
MAT-18   0.000000 0.000000
MAT-19   0.000000 0.000000
MAT-20   0.000000 0.000000
MAT-21   0.000000 0.000000
MAT-22   0.000000 0.000000
MAT-23   0.000000 0.000000
MAT-24   49.618505 29.416239
MAT-25   0.000000 0.000000
MAT-26   1832.401708 113.056643
MAT-27   0.000000 0.000000
MAT-28   0.000000 0.000000
MAT-29   0.000000 0.000000
MAT-30   222.192877 11.313559
MAT-31   0.000000 0.000000
MAT-32   0.000000 0.000000
MAT-33   20135.777011 148.712440
MAT-34   0.000000 0.000000
MAT-35   5.184708 1.607094
MAT-36   0.000000 0.000000
MAT-37   0.000000 0.000000
MAT-38   0.000000 0.000000
MAT-39   0.000000 0.000000
MAT-40   0.000000 0.000000
MAT-41   0.000000 0.000000
MAT-42   0.000000 0.000000
MAT-43   0.000000 0.000000
MAT-44   0.000000 0.000000
MAT-45   19580.054038 181.777286
MAT-46   0.000000 0.000000
MAT-47   5.233237 2.291000
MAT-48   1344.380060 36.016096
MAT-49   0.000000 0.000000
