MAT-0   102.7086958638 5.4619570854
MAT-1   0.0000000000 0.0000000000
MAT-2   0.0000000000 0.0000000000
MAT-3   541.3002611151 36.7832575449
MAT-4   74.3888672221 9.6459906140
MAT-5   31.7547845261 3.6746932880
MAT-6   6.4308554578 0.7302348374
MAT-7   0.0000000000 0.0000000000
MAT-8   0.0000000000 0.0000000000
MAT-9   20.4205300488 6.1122563645
MAT-10   27.7403591902 3.0087844462
MAT-11   35.6309125335 5.4985003375
MAT-12   1.9257749844 0.8777010282
MAT-13   8.4515507726 1.4416699792
MAT-14   5626.4415787350 995.0681859790
MAT-15   424.5470700426 51.7301524449
MAT-16   0.0000000000 0.0000000000
MAT-17   91.6715651729 5.6912629640
MAT-18   9.0537934443 1.5187921277
MAT-19   3.9968899330 1.0403376553
MAT-20   0.0000000000 0.0000000000
MAT-21   0.0000000000 0.0000000000
MAT-22   5.3477253290 1.2734483939
MAT-23   0.0000000000 0.0000000000
MAT-24   37.4398090170 4.1115413893
MAT-25   0.0000000000 0.0000000000
MAT-26   365.4416416801 14.3354378919
MAT-27   0.0000000000 0.0000000000
MAT-28   0.0000000000 0.0000000000
MAT-29   7.9826622134 2.6752025177
MAT-30   151.4014722810 12.2042212391
MAT-31   4.8836729479 4.1639027780
MAT-32   0.0000000000 0.0000000000
MAT-33   1021.5169446965 32.9922016845
MAT-34   1.2971050780 0.0000000000
MAT-35   41.7982251160 8.3807122042
MAT-36   2.8416700805 1.0494443233
MAT-37   1.6934100746 0.0000000000
MAT-38   3.6207191592 1.2265624157
MAT-39   0.9454622497 1.0923746400
MAT-40   0.0000000000 0.0000000000
MAT-41   0.0000000000 0.0000000000
MAT-42   0.0000000000 0.0000000000
MAT-43   0.0000000000 0.0000000000
MAT-44   0.0000000000 0.0000000000
MAT-45   642.1629933874 23.3809031238
MAT-46   3.5640827715 1.2676027467
MAT-47   55.1344574475 5.4874871150
MAT-48   379.5998491332 14.7251624037
MAT-49   0.0000000000 0.0000000000
