MAT-0   4.5823506289 0.2436853304
MAT-1   0.0000000000 0.0000000000
MAT-2   0.0000000000 0.0000000000
MAT-3   24.1501225490 1.6410858100
MAT-4   3.3188608777 0.4303560744
MAT-5   1.4167403804 0.1639465184
MAT-6   0.2869127517 0.0325794427
MAT-7   0.0000000000 0.0000000000
MAT-8   0.0000000000 0.0000000000
MAT-9   0.9110623782 0.2726984464
MAT-10   1.2376367095 0.1342369814
MAT-11   1.5896739130 0.2453157084
MAT-12   0.0859184915 0.0391586499
MAT-13   0.3770661157 0.0643201365
MAT-14   251.0238095238 44.3949880728
MAT-15   18.9411764706 2.3079418407
MAT-16   0.0000000000 0.0000000000
MAT-17   4.0899288107 0.2539158170
MAT-18   0.4039351852 0.0677609428
MAT-19   0.1783213285 0.0464146864
MAT-20   0.0000000000 0.0000000000
MAT-21   0.0000000000 0.0000000000
MAT-22   0.2385888782 0.0568149269
MAT-23   0.0000000000 0.0000000000
MAT-24   1.6703778677 0.1834365057
MAT-25   0.0000000000 0.0000000000
MAT-26   16.3041865395 0.6395758634
MAT-27   0.0000000000 0.0000000000
MAT-28   0.0000000000 0.0000000000
MAT-29   0.3561466428 0.1193542167
MAT-30   6.7547798742 0.5444915876
MAT-31   0.2178851714 0.1857726101
MAT-32   0.0000000000 0.0000000000
MAT-33   45.5750000000 1.4719477729
MAT-34   0.0578703704 0.0000000000
MAT-35   1.8648286938 0.3739056515
MAT-36   0.1267811705 0.0468209806
MAT-37   0.0755515261 0.0000000000
MAT-38   0.1615384615 0.0547231080
MAT-39   0.0421818182 0.0487363176
MAT-40   0.0000000000 0.0000000000
MAT-41   0.0000000000 0.0000000000
MAT-42   0.0000000000 0.0000000000
MAT-43   0.0000000000 0.0000000000
MAT-44   0.0000000000 0.0000000000
MAT-45   28.6501154734 1.0431394853
MAT-46   0.1590116279 0.0565541232
MAT-47   2.4598249801 0.2448243532
MAT-48   16.9358552632 0.6569634307
MAT-49   0.0000000000 0.0000000000
