MAT-0   48.2169454459 2.5641342693
MAT-1   0.0000000000 0.0000000000
MAT-2   0.0000000000 0.0000000000
MAT-3   72.2362947041 4.9087104202
MAT-4   42.7219486170 5.5397471525
MAT-5   18.5285755014 2.1441440415
MAT-6   7.0025199380 0.7951483348
MAT-7   0.0000000000 0.0000000000
MAT-8   0.0000000000 0.0000000000
MAT-9   23.6508095584 7.0791409872
MAT-10   24.0785436629 2.6116153422
MAT-11   22.7771808364 3.5149348589
MAT-12   1.9895922939 0.9067867306
MAT-13   5.9440811441 1.0139444902
MAT-14   32.9171593229 5.8215867981
MAT-15   67.6390197965 8.2416698929
MAT-16   0.0000000000 0.0000000000
MAT-17   42.9073283804 2.6638237106
MAT-18   9.5161916618 1.5963603621
MAT-19   5.0106635401 1.3042095345
MAT-20   0.0000000000 0.0000000000
MAT-21   0.0000000000 0.0000000000
MAT-22   7.1357481326 1.6992284456
MAT-23   0.0000000000 0.0000000000
MAT-24   19.2924986549 2.1186514783
MAT-25   0.0000000000 0.0000000000
MAT-26   93.5031118041 3.6679127365
MAT-27   0.0000000000 0.0000000000
MAT-28   0.0000000000 0.0000000000
MAT-29   8.0336030886 2.6922741604
MAT-30   98.9624280211 7.9771969700
MAT-31   2.3877624696 2.0358469714
MAT-32   0.0000000000 0.0000000000
MAT-33   103.0481290179 3.3281725510
MAT-34   1.7295902331 0.0000000000
MAT-35   45.4789438023 9.1187111008
MAT-36   2.7012797787 0.9975974160
MAT-37   2.0430451796 0.0000000000
MAT-38   3.5392768090 1.1989728344
MAT-39   1.0709755099 1.2373910090
MAT-40   0.0000000000 0.0000000000
MAT-41   0.0000000000 0.0000000000
MAT-42   0.0000000000 0.0000000000
MAT-43   0.0000000000 0.0000000000
MAT-44   0.0000000000 0.0000000000
MAT-45   92.0679636513 3.3521585035
MAT-46   5.2457608872 1.8657088894
MAT-47   30.5098853314 3.0366237447
MAT-48   123.1612527951 4.7775821128
MAT-49   0.0000000000 0.0000000000
