MAT-50   1034.4653435926 19.3520699250
MAT-51   177.6589768339 8.6814404446
MAT-52   655.5623126995 15.4803629452
MAT-53   1126.9295381005 19.7478069672
MAT-54   550.8918534536 44.7413186336
MAT-55   817.9877966304 29.9874235190
MAT-56   292.2774813685 12.4522897837
MAT-57   565.8507406018 23.3493688408
MAT-58   464.5275248333 18.0224894990
MAT-59   163.4759811132 12.4314499166
MAT-60   923.5364571529 25.1030695927
MAT-61   811.9604043315 6.6026446781
MAT-62   137.4534964034 7.6589563778
MAT-63   826.2744955815 19.8210638456
MAT-64   1041.1573671559 50.9664425384
MAT-65   2734.1548228353 179.6352837922
MAT-66   335.2560176958 22.3256236854
MAT-67   278.1905300184 25.5335048335
MAT-68   330.5064037118 42.1762448720
MAT-69   302.5785762070 17.4766536884
MAT-70   557.7176735823 24.2016970744
MAT-71   530.6023416248 19.8647728057
MAT-72   103.0503999072 10.8233938662
MAT-73   605.9941887931 11.2726994207
MAT-74   637.6926026449 25.7988998489
MAT-75   905.5131510631 25.9734583232
MAT-76   629.9764816171 8.6287082724
MAT-77   1362.2716371037 167.5544570726
MAT-78   468.1821959686 21.8676778904
MAT-79   283.2099227274 13.6408900748
MAT-80   72.7523398850 13.9454653936
MAT-81   748.7464762479 19.7419278718
MAT-82   55.8014604549 13.0326709495
MAT-83   594.9158984735 34.9852668098
MAT-84   270.2297571551 17.5135839656
MAT-85   136.9903982294 16.0328072369
MAT-86   84.8506545298 1.8039565055
MAT-87   281.9772628368 9.6375118108
MAT-88   509.1511543506 13.0272941847
MAT-89   773.4253182465 46.1123550280
MAT-90   762.3105733370 15.7367635614
MAT-91   762.3130834715 36.8604694991
MAT-92   340.7543195865 23.6044085703
MAT-93   649.9109115873 26.2731412821
MAT-94   1004.6283535764 39.4188308263
MAT-95   90.6461609073 7.4947543118
MAT-96   561.7226279257 27.9197460181
MAT-97   688.6303107010 6.2766802614
MAT-98   499.4879782099 51.0427118011
MAT-99   279.8951574648 19.8269489109
