MAT-0   0.251441 0.009255
MAT-1   0.00374232 0.007319
MAT-2   0.00355615 0.003907
MAT-3   0.691689 0.005847
MAT-4   0.299359 0.018270
MAT-5   0.209928 0.012539
MAT-6   0.114809 0.017091
MAT-7   0.0806303 0.009667
MAT-8   0.00229323 0.002076
MAT-9   0.160639 0.006877
MAT-10   0.222609 0.018615
MAT-11   0.153656 0.010256
MAT-12   0.0609002 0.010668
MAT-13   0.0554564 0.004617
MAT-14   0.984802 0.001080
MAT-15   0.597525 0.006692
MAT-16   0.0455987 0.012945
MAT-17   0.252099 0.006716
MAT-18   0.0563753 0.006992
MAT-19   0.102871 0.022898
MAT-20   0.0204608 0.005787
MAT-21   0.0306915 0.013653
MAT-22   0.0834205 0.008773
MAT-23   0.000316438 0.000158
MAT-24   0.114588 0.006310
MAT-25   0.00530261 0.008945
MAT-26   0.479438 0.004050
MAT-27   0.0191641 0.005839
MAT-28   0.00555853 0.003872
MAT-29   0.134071 0.015093
MAT-30   0.45853 0.016627
MAT-31   0.0372298 0.003954
MAT-32   0.00751689 0.003840
MAT-33   0.743944 0.007191
MAT-34   0.083754 0.054798
MAT-35   0.179789 0.003576
MAT-36   0.0480869 0.006434
MAT-37   0.0503433 0.023924
MAT-38   0.0827437 0.009636
MAT-39   0.0167046 0.003500
MAT-40   0.00439663 0.002702
MAT-41   0.00010713 0.000108
MAT-42   0.000164483 0.000192
MAT-43   0.00261562 0.001175
MAT-44   6.11992e-05 0.000026
MAT-45   0.811182 0.002819
MAT-46   0.200037 0.016192
MAT-47   0.142804 0.008382
MAT-48   0.557751 0.016252
MAT-49   5.40427e-05 0.000134
MAT-50   0.745859 0.005117
MAT-51   0.39849 0.006420
MAT-52   0.795988 0.013279
MAT-53   0.823969 0.009586
MAT-54   0.707886 0.004517
MAT-55   0.832695 0.003363
MAT-56   0.546884 0.008806
MAT-57   0.698838 0.007647
MAT-58   0.639458 0.002424
MAT-59   0.382188 0.011991
MAT-60   0.714422 0.008476
MAT-61   0.672871 0.005258
MAT-62   0.366346 0.014146
MAT-63   0.714527 0.009804
MAT-64   0.789612 0.007561
MAT-65   0.96664 0.002341
MAT-66   0.568982 0.007165
MAT-67   0.528818 0.004932
MAT-68   0.534002 0.002874
MAT-69   0.668184 0.004648
MAT-70   0.61673 0.007395
MAT-71   0.593013 0.010155
MAT-72   0.231545 0.006350
MAT-73   0.616483 0.012993
MAT-74   0.794708 0.007463
MAT-75   0.682929 0.011472
MAT-76   0.641004 0.009939
MAT-77   0.916028 0.003427
MAT-78   0.716392 0.006985
MAT-79   0.432664 0.008343
MAT-80   0.246126 0.003940
MAT-81   0.712499 0.006345
MAT-82   0.148913 0.004453
MAT-83   0.723694 0.006465
MAT-84   0.463348 0.006135
MAT-85   0.234119 0.009791
MAT-86   0.269959 0.009616
MAT-87   0.471621 0.007607
MAT-88   0.816055 0.000559
MAT-89   0.734997 0.002871
MAT-90   0.788113 0.003060
MAT-91   0.866021 0.007495
MAT-92   0.592758 0.006529
MAT-93   0.83486 0.007547
MAT-94   0.792221 0.005601
MAT-95   0.280852 0.009865
MAT-96   0.708346 0.003787
MAT-97   0.666318 0.004362
MAT-98   0.750811 0.003721
MAT-99   0.410163 0.005670
