MAT-0   42.104557 5.73592
MAT-1   0.000000 0
MAT-2   0.000000 0
MAT-3   2189.569341 19.8521
MAT-4   5.748234 4.40421
MAT-5   1.305418 0.718591
MAT-6   0.000000 0
MAT-7   0.000000 0
MAT-8   0.000000 0
MAT-9   3.619900 0.905911
MAT-10   2.128428 1.64498
MAT-11   10.012493 5.17931
MAT-12   0.000000 0
MAT-13   0.000000 0
MAT-14   563.998792 0
MAT-15   1535.880557 53.2236
MAT-16   0.000000 0
MAT-17   131.871533 7.83727
MAT-18   0.000000 0
MAT-19   0.000000 0
MAT-20   0.000000 0
MAT-21   0.000000 0
MAT-22   0.000000 0
MAT-23   0.000000 0
MAT-24   25.568104 15.158
MAT-25   0.000000 0
MAT-26   468.844385 28.927
MAT-27   0.000000 0
MAT-28   0.000000 0
MAT-29   0.000000 0
MAT-30   145.234695 7.39502
MAT-31   0.000000 0
MAT-32   0.000000 0
MAT-33   2031.247899 15.0017
MAT-34   0.000000 0
MAT-35   5.641269 1.74861
MAT-36   0.000000 0
MAT-37   0.000000 0
MAT-38   0.000000 0
MAT-39   0.000000 0
MAT-40   0.000000 0
MAT-41   0.000000 0
MAT-42   0.000000 0
MAT-43   0.000000 0
MAT-44   0.000000 0
MAT-45   2807.224524 26.0617
MAT-46   0.000000 0
MAT-47   2.895929 1.26778
MAT-48   436.184400 11.6854
MAT-49   0.000000 0
MAT-50   1994.575684 34.0558
MAT-51   677.864699 21.3052
MAT-52   2842.031530 34.8495
MAT-53   2608.050878 35.739
MAT-54   2459.943145 23.6298
MAT-55   2925.767506 33.6121
MAT-56   1414.194670 25.717
MAT-57   2247.934665 16.6265
MAT-58   1926.880123 49.9951
MAT-59   84.918669 7.48603
MAT-60   1832.857304 33.6924
MAT-61   1427.956394 36.2374
MAT-62   22.450404 3.61634
MAT-63   1801.170981 44.4097
MAT-64   2440.006300 45.4465
MAT-65   1030.821635 8.23378
MAT-66   1551.021870 38.0058
MAT-67   1309.747892 43.1277
MAT-68   1220.830248 37.3493
MAT-69   2252.222417 28.001
MAT-70   1377.632930 44.0067
MAT-71   787.837319 37.8268
MAT-72   104.849724 17.4103
MAT-73   863.581290 10.0579
MAT-74   2845.413410 37.6548
MAT-75   1559.771829 19.8396
MAT-76   945.432724 25.7214
MAT-77   1865.459732 23.2383
MAT-78   2505.537102 37.4672
MAT-79   218.653544 8.09217
MAT-80   182.966790 10.4563
MAT-81   1523.817368 20.5722
MAT-82   31.922212 10.0479
MAT-83   2390.834410 30.8751
MAT-84   806.028365 23.1877
MAT-85   87.782351 12.1548
MAT-86   19.216576 2.89225
MAT-87   838.425447 15.3458
MAT-88   2769.770673 48.682
MAT-89   2256.309640 23.9999
MAT-90   2509.310987 31.611
MAT-91   3035.754238 23.362
MAT-92   1629.870403 27.3557
MAT-93   3169.890965 37.9729
MAT-94   2388.901786 27.0568
MAT-95   40.677372 4.86464
MAT-96   2287.432295 39.3266
MAT-97   1224.489954 18.6576
MAT-98   2649.892028 14.5926
MAT-99   479.956493 42.376
