MAT-0   48.2169454459 2.5641342693
MAT-1   0.0000000000 0.0000000000
MAT-2   0.0000000000 0.0000000000
MAT-3   72.2362947041 4.9087104202
MAT-4   42.7219486170 5.5397471525
MAT-5   18.5285755014 2.1441440415
MAT-6   7.0025199380 0.7951483348
MAT-7   0.0000000000 0.0000000000
MAT-8   0.0000000000 0.0000000000
MAT-9   23.6508095584 7.0791409872
MAT-10   24.0785436629 2.6116153422
MAT-11   22.7771808364 3.5149348589
MAT-12   1.9895922939 0.9067867306
MAT-13   5.9440811441 1.0139444902
MAT-14   32.9171593229 5.8215867981
MAT-15   67.6390197965 8.2416698929
MAT-16   0.0000000000 0.0000000000
MAT-17   42.9073283804 2.6638237106
MAT-18   9.5161916618 1.5963603621
MAT-19   5.0106635401 1.3042095345
MAT-20   0.0000000000 0.0000000000
MAT-21   0.0000000000 0.0000000000
MAT-22   7.1357481326 1.6992284456
MAT-23   0.0000000000 0.0000000000
MAT-24   19.2924986549 2.1186514783
MAT-25   0.0000000000 0.0000000000
MAT-26   93.5031118041 3.6679127365
MAT-27   0.0000000000 0.0000000000
MAT-28   0.0000000000 0.0000000000
MAT-29   8.0336030886 2.6922741604
MAT-30   98.9624280211 7.9771969700
MAT-31   2.3877624696 2.0358469714
MAT-32   0.0000000000 0.0000000000
MAT-33   103.0481290179 3.3281725510
MAT-34   1.7295902331 0.0000000000
MAT-35   45.4789438023 9.1187111008
MAT-36   2.7012797787 0.9975974160
MAT-37   2.0430451796 0.0000000000
MAT-38   3.5392768090 1.1989728344
MAT-39   1.0709755099 1.2373910090
MAT-40   0.0000000000 0.0000000000
MAT-41   0.0000000000 0.0000000000
MAT-42   0.0000000000 0.0000000000
MAT-43   0.0000000000 0.0000000000
MAT-44   0.0000000000 0.0000000000
MAT-45   92.0679636513 3.3521585035
MAT-46   5.2457608872 1.8657088894
MAT-47   30.5098853314 3.0366237447
MAT-48   123.1612527951 4.7775821128
MAT-49   0.0000000000 0.0000000000
MAT-50   121.2281331944 2.2678529783
MAT-51   35.0191495650 1.7112372636
MAT-52   130.3533912430 3.0781479784
MAT-53   95.5805958466 1.6749114233
MAT-54   74.4843785009 6.0493348937
MAT-55   139.0825913048 5.0987662490
MAT-56   41.2317722398 1.7566525270
MAT-57   69.5602438363 2.8703466717
MAT-58   59.8791109540 2.3231575971
MAT-59   78.5567002110 5.9738053116
MAT-60   126.1893431182 3.4300106267
MAT-61   139.0861703409 1.1310115093
MAT-62   69.3762821995 3.8656704480
MAT-63   154.2257966371 3.6996414365
MAT-64   92.0722021951 4.5070925401
MAT-65   32.4693457180 2.1332515935
MAT-66   48.2305158235 3.2118031880
MAT-67   47.3882014068 4.3494897889
MAT-68   53.4002856566 6.8144625907
MAT-69   34.8794950552 2.0146067959
MAT-70   97.9967558074 4.2524881507
MAT-71   129.2650642597 4.8394455354
MAT-72   28.2303655895 2.9650381370
MAT-73   140.4973181285 2.6135300733
MAT-74   122.9403800736 4.9737546582
MAT-75   139.7927732236 4.0097725416
MAT-76   154.9466101854 2.1222841425
MAT-77   32.8738804324 4.0433677379
MAT-78   59.0455208535 2.7578759765
MAT-79   82.6502802056 3.9808753029
MAT-80   16.9548648863 3.2499776901
MAT-81   181.0320737357 4.7732072945
MAT-82   14.6915385025 3.4312719682
MAT-83   67.6786922327 3.9799862656
MAT-84   65.7199541195 4.2593086224
MAT-85   34.1382640188 3.9954056159
MAT-86   45.1011825133 0.9588679316
MAT-87   72.6348831267 2.4825389713
MAT-88   32.9585997922 0.8432886221
MAT-89   94.4107931376 5.6288615189
MAT-90   178.0251694114 3.6750638086
MAT-91   88.2481295887 4.2671017454
MAT-92   72.4556941991 5.0190818159
MAT-93   86.0344388433 3.4780074108
MAT-94   87.6681251460 3.4398541328
MAT-95   43.6919902003 3.6125162794
MAT-96   72.9547304973 3.6261269264
MAT-97   150.3813094819 1.3706852316
MAT-98   39.8056136518 4.0677384729
MAT-99   60.7835675162 4.3057289690
